,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,dSOMBC4156I,"['dunki', 'usa mexico border', 'indians in usa', 'Shahrukh khan', 'Aaja mexico chaliye', 'Donkey usa', 'Mexico', 'Dunki']",1174548,20069,0,1480
1,t-RxWqCOBns,"['india to usa donkey process', 'US Donkey Process in 59 seconds', 'border', 'india', 'usa', 'indians in usa', 'singh', 'punjab', 'haryana', 'indian youtuber', 'up', 'delhi', 'dipanshu saini', 'dipanshu saini shorts', 'short', 'shorts']",4743886,327285,0,1194
2,e_SFs5v-TXs,,1265199,49418,0,422
3,WF4-GH6gT_k,,574052,19182,0,781
4,pvIA2UtNV0E,"['how to make documentation for usa donkey', 'how to cross Mexican border easly to enter usa', 'how to enter in usa from mexico', 'how to find donkey agents in india', 'USA donkers', 'Usa donkey', 'How to cross panama forest', 'usa donkey 2022', 'how to find best way to enter usa on donkey']",203060,4390,0,25
5,_KzW9Ct8WLs,"['Namaste backpacker', 'Backpacker', 'namaste', 'usa', 'usa donkey', 'usa donkey vai Portugal', 'America', 'America donkey', 'America donkey from Europe', 'Donkey America', 'Usa donkey 2022', 'usa donkey 2023', 'Usa donkey from India', 'usa donkey from Europe', 'Usa donkey via Mexico', 'Usa study visa', 'Usa tourist visa', 'Usa work visa from India', 'usa donkey from India', 'Mexico donkey from India', 'Europe donkey from India', 'Serbia donkey from India', 'Serbia donkey', 'Portugal tourist visa', 'Usa visa update']",2023,101,0,16
6,vElXF3bwrfI,,423120,7694,0,356
7,Wyhmg-aXmrY,"['Aaja Mexico Challiye\nFilm', 'Mexico USA border', 'ILLEGAL Mexico border', 'Mexico donkey', 'USA donkey', 'India to usa donkey']",3078794,33799,0,982
8,fbuFDw5Acg8,,258069,6355,0,242
9,jHkGJE6_2Yc,"['America', 'America donkey', 'America donkey from Europe', 'America donkey from india', 'backpacker', 'direct usa indian', 'donkey america', 'namaste backpacker', 'usa', 'usa donkey', 'usa donkey 2022', 'usa donkey from india', 'usa donkey to india', 'usa donkey via Mexico', 'usa donkey via europe', 'usa ki donkey', 'usa study visa', 'usa tourist visa', 'usa visa', 'usa work visa for indian', 'Usa Ki donkey', 'usa donkey 2023']",18222,566,0,141
10,FSGmJNlm5mQ,"['indian vlogger', 'indian software engineer in usa', 'singh in usa']",1801718,115154,0,930
11,VSPj51bioPc,,156534,7801,0,33
12,bwgBfJMP5s4,,17744,799,0,5
13,x-s0YoznGgU,"['#usadonkey', '#donkeyusa', '#panamajungle', '#usa', '#mexicodonkey', '#mexicojungle', '#usaborder', '#mexicoborder', '#ashuror']",127117,6292,0,626
14,q-h09idPxg4,,1361713,34697,0,951
15,pux309R_Ljo,,38656,2060,0,99
16,Zg6CQaPEUuk,"['2 numbari usa wala', 'America camp', 'Usa donkey 2022', 'Usa donkey 2023', 'Vlog', 'animal crossing new horizons', 'camp', 'camp america', 'daily vlog', 'donkey america', 'family vlogs', 'india to amarica donkey', 'india to usa flight journey', 'india to usa travel vlog', 'india to usa vlog', 'living in panama', 'new york', 'new york city', 'panama canal', 'sourav joshi vlogs', 'stand up comedian', 'summer camp', 'travel vlog', 'united states', 'usa donkey', 'usa donkey video', 'vlogs', 'youtube channel 2 numbari usa wala', 'us']",6712,460,0,110
17,ApYh-QY53J8,"['Illegal Mexico Border Crossing', 'USA illegal border crossing', 'Illegal immigrant', 'Illegal Visa Agents', 'Legal ways to get USA Visa', 'USA Illegal Entry', 'Mexico Border illegal crossing', 'Latest illegal mexico border crossing', 'mk films', 'usa donkey', 'fake agents', 'illegal immigration usa', 'illegal immigration in mexico', 'us visa for indians', 'how to get us visa', 'mexico border crossing', 'USA: Mexico Donkey Route', 'immigration', 'border', 'mexico', 'sts vlogs', 'us deportation punjabi', 'latest visa video']",728028,15232,0,751
18,SOtnnx6Zf5c,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",1554660,59994,0,0
19,_djgUASoBls,,1244,116,0,77
