,Unnamed: 0,videoId,publishedDate,title,videoUrl,description,channelId,channelTitle
0,28.0,jcVx8KQDT8A,2022-09-04T06:04:11Z,डोंकी ko लेकर aapke सवालों ke जवाब ॥INDIA to USA🇺🇸 #haryanviinusa #donky #indianinamerica,https://www.youtube.com/watch?v=jcVx8KQDT8A,"india to usa donkey,usa donkey,india to america donkey map,india to usa,india to usa donky,#india to usa donky,#india to usa ...",UCyORkzQuHawChmz_QII3QXA,Jakhar vlogs
1,44.0,R2JoXWzjPDE,2022-11-10T09:33:58Z,mexico to usa border crossing 2022 🇺🇲| Usa Donkey | usa border crossing video(Part 2) #shorts,https://www.youtube.com/watch?v=R2JoXWzjPDE,"america illegal entry punjabi | mexico to america donkey #shorts mexico to america donkey, Punjab NEws, Punjab news live, ...",UCJ2YrlSSzLlLPpHLvlM4dUg,Donkey Update 2.0
2,53.0,EQmKCvEO6T8,2022-08-21T22:55:14Z,INDIA TO USA DONKEY 🇺🇲,https://www.youtube.com/watch?v=EQmKCvEO6T8,,UC0hbO6CYJZ2czXuyl74Rdng,2 NUMBERI
3,68.0,m3e4Tm8iIA0,2022-01-06T08:39:48Z,"America ki donkey, india se. #america #mexico #usa #india #donkey #2022  #punjab #haryana #delhi..",https://www.youtube.com/watch?v=m3e4Tm8iIA0,,UCBvz-N3G4BiFJHxk9_DXvdw,Haryanvi vloggers
4,91.0,aYl6jls8FAQ,2022-10-23T08:39:19Z,USA DONKEY 2022 || America Donkey video | 2 Number Vich America | Donkey video,https://www.youtube.com/watch?v=aYl6jls8FAQ,,UCzUuSLnlDg59Zs0Qi2h_QlA,TRUE INDIAN RD
5,92.0,I6LIV6ZSreU,2022-10-30T09:30:03Z,USA Donkey I india to usa donkey I #shorts,https://www.youtube.com/watch?v=I6LIV6ZSreU,shorts #usadonkey #usadonkey2022 #usa #freevisaadvisor USA Donkey I india to usa donkey I #shorts Free Visa Advisor don't ...,UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
6,93.0,b3npD8sHU-8,2022-01-22T02:49:30Z,Cuba Visa for 🇵🇰 🇮🇳 Citizen | Cuba to USA Donkey Flight | Cuba Embassy | Visit visa latest update.,https://www.youtube.com/watch?v=b3npD8sHU-8,Cuba Visa for Citizen | Cuba to USA Donkey Flight | Cuba Embassy | Visit visa latest update. Cuba Visa after ...,UCEFJ74BQdQ7kGHXX2D8nfRA,Teach visa Punjabi
7,108.0,IGaw_HeVD1Q,2022-12-19T05:19:41Z,USA CAMP FULL VIDEOS || usa donkey || America border crossing punjabi || Mexico to USA,https://www.youtube.com/watch?v=IGaw_HeVD1Q,donkey americaa || donkey 2022 ||Usa donkey america ||donkey ||mexico border crossing to usa punjabiIndia to USA donkey ...,UCc3JmivcpjAGnd1-p-ldtaQ,Technical gill
8,110.0,G86xszBOi4k,2022-02-26T11:51:00Z,Donkey India To America Funny Video Must Watch😂😂😂,https://www.youtube.com/watch?v=G86xszBOi4k,shorts #ComedyVideo #OpTarun.,UCh9sKM3ljmKb22hW8fkfgpQ,Op; Tarun
9,114.0,KeiX38mey2w,2021-03-08T16:07:18Z,#USA #Donkey #information #UK #visa information Punjabi boy Europe visa kaise lgwaye,https://www.youtube.com/watch?v=KeiX38mey2w,USA #Donkey #information #UK #Visa information Punjabi boy Europe visa kaise lagwaye indin boy any country how to apply ...,UCjj9Rtf2GquenO-LX0Wkd1w,Hello india
10,130.0,919Qjc6wwis,2021-05-26T08:09:38Z,usa donkey entry by haryanvi,https://www.youtube.com/watch?v=919Qjc6wwis,,UCp9_hn-3i1_M9U11p6zEyCw,Shivam._. Jaat
11,155.0,sUrXg0LdXx0,2020-09-14T03:56:31Z,USA  New Route 2021 | Donkey Flight America di | Brazil to Mexico Route.,https://www.youtube.com/watch?v=sUrXg0LdXx0,USA Donkey new route 2020 | Donkey Flight America di | Brazil to Mexico route. usa ki donkey/Donkey Flight.Pakistan India to ...,UCEFJ74BQdQ7kGHXX2D8nfRA,Teach visa Punjabi
12,161.0,3-yur9Db78M,2022-10-26T14:15:07Z,USA Donkey I india to usa donkey I #shorts,https://www.youtube.com/watch?v=3-yur9Db78M,shorts #usadonkey #usadonkey2022 #usa #freevisaadvisor USA Donkey I india to usa donkey I #shorts Watch the full video of ...,UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
13,164.0,cfABbCdGrrQ,2022-10-23T05:21:40Z,Donkey America 🇺🇲 | Donkey 2022 | Usa Donkey | Mexico Border Crossing to Usa,https://www.youtube.com/watch?v=cfABbCdGrrQ,Donkey America | Donkey 2022 | Usa Donkey | Mexico Border Crossing to Usa #usadonkey #indiatousa #usaborder ...,UCJ2YrlSSzLlLPpHLvlM4dUg,Donkey Update 2.0
14,174.0,y5sLk7PUVQI,2021-03-12T15:18:56Z,New Update USA Donkey 2021 and how to apply usa visa punjabi boy in USA indian in USA mexico,https://www.youtube.com/watch?v=y5sLk7PUVQI,New Update #USA #Donkey #2021 and how to apply usa visa #punjabi boy in USA #indian in USA #mexico to USA donkey.,UCjj9Rtf2GquenO-LX0Wkd1w,Hello india
15,185.0,crzYbnkMUTU,2022-10-04T14:30:13Z,USA Donkey I india to usa donkey I #shorts,https://www.youtube.com/watch?v=crzYbnkMUTU,shorts #usadonkey #usa #usvisa #freevisaadvisor USA Donkey I india to usa donkey I #shorts Free Visa Advisor don't promote ...,UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
16,186.0,L0RkOYbx-3I,2019-01-03T13:14:13Z,India to Usa (Donkey),https://www.youtube.com/watch?v=L0RkOYbx-3I,Ror Boys.,UC4vR9QSRXrWYQ5kTT10U_tg,Flop blogger
17,188.0,Aqhbw7N4_qQ,2022-12-29T02:47:56Z,Usa Donkey 2023 | Donkey Life India To America 💲 #donkey #visa #america || new america visa rule,https://www.youtube.com/watch?v=Aqhbw7N4_qQ,usa donkey 2023 #Donki #border #panama #usa USA Donkey 2023.,UCYJ8fRExSOfpWWJhzyRPxJg,illegal Jaat
18,190.0,O40W8JpXRwY,2022-10-05T07:30:12Z,LAST VIDEO - India to USA Donkey | Gaurav maan,https://www.youtube.com/watch?v=O40W8JpXRwY,USA DONKEY लगाने का मन है उससे पहले ये वीडियो देख लो । कैसी आपकी जिंदगी ...,UCp9ABGKxojZ9MIpCurKFXCQ,Gaurav Maan
19,192.0,6LJBoKF9DcI,2022-03-14T07:24:41Z,New USA Donkey Video | Mexico border crossing | Indian boys in donkey | 2022,https://www.youtube.com/watch?v=6LJBoKF9DcI,Usa donkey video mexico border crossing 2022 Ror boys #usadonkey #donkey #america #indianinamerica #usadonkeyvideo ...,UCypuIdlqQELMH_vKb5FMcbQ,Indian American
20,193.0,Nwl9LEbQKsU,2022-11-27T05:50:23Z,usa donkey || Mexico to USA border crossing|| usa donkey 2022 technical gill || Mexico border,https://www.youtube.com/watch?v=Nwl9LEbQKsU,donkey americaa || donkey 2022 ||Usa donkey america ||donkey ||mexico border crossing to usa punjabiIndia to USA donkey ...,UCc3JmivcpjAGnd1-p-ldtaQ,Technical gill
21,196.0,drEWY5fhhQ0,2022-11-16T04:07:28Z,Usa donkey | donkey shayri | india to usa | aj__usa | pardeshi status | #aj__usa  #donkey,https://www.youtube.com/watch?v=drEWY5fhhQ0,,UCOZ4WFDBKT71c3kxTZMgWGA,Aryan__usa_
22,207.0,c9JszJR2iPc,2022-07-05T04:28:09Z,Times Square Pe Lakho Ka SCAM | India To USA Donkey VISA | Indian In America,https://www.youtube.com/watch?v=c9JszJR2iPc,"timessquare #indianinamerica #indianinusa Times Square Pe Lakho Ka SCAM | Indian In America Hello Guys, welcome back to ...",UCdvfzzIhnq4_WOZDP8L1oPw,RK'S IN AMERICA
23,218.0,l8FmYj7VBaM,2018-10-21T15:12:02Z,bahamas to usa illegal [ india pakistan  afghanistan ]USA KI DONKEY  PARTS 3 2018 in URDU&amp;HINDI.,https://www.youtube.com/watch?v=l8FmYj7VBaM,bahamas to usa illegal [ india pakistan bangladesh afghanistan ] PARTS 3 2018 in URDU&HINDI. usa ki donkey information in ...,UCYyk3C5bP0IVvukAnGibl7w,TEACH VISA
24,220.0,yAfWoDKa5Jo,2022-10-19T05:30:22Z,USA Donkey I india to usa donkey I #shorts,https://www.youtube.com/watch?v=yAfWoDKa5Jo,usa #usadonkey #usadonkey2022 #freevisaadvisor USA Donkey I india to usa donkey I #shorts Free Visa Advisor don't promote ...,UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
25,221.0,Dj9jsS2fhBg,2022-12-12T12:07:56Z,# AMERICA 🇺🇸 DONKEY || India To Kyrgyzstan 🇰🇬 || # USA donkey # shorts #viral #maxico #usaborder,https://www.youtube.com/watch?v=Dj9jsS2fhBg,,UC_jmCHS4CfP-cUU7KfoQISA,Amit Sharma
26,222.0,m03cXDr6ACE,2022-12-22T12:59:41Z,India to US without donkey इंडिया से यू एस सीधा us visa latest news us visa update USA visa 🇺🇸USA,https://www.youtube.com/watch?v=m03cXDr6ACE,US donkey easy and safe steps to direct India to usa donkey by flight India to uk to Maxico by flight to to ...,UC_E-4M31gKkn8Cg7H01YwGg,New Mission 
27,223.0,x_X01oegCkQ,2022-09-12T05:33:15Z,INDIA to USA donkey  I usa donkey I usa donkey 2022 I,https://www.youtube.com/watch?v=x_X01oegCkQ,"usvisa #usdonkey #usbordercrossing US donkey border crossing I usa donkey I india to usa donkey, usa donkey 2022, usa ...",UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
28,240.0,HFFkpEaPzBY,2022-11-08T01:30:09Z,USA Donkey I india to  usa donkey I #shorts,https://www.youtube.com/watch?v=HFFkpEaPzBY,shorts #freevisaadvisor #usadonkey USA Donkey I india to usa donkey I #shorts Free Visa Advisor don't promote illegals border ...,UC4mifYMs39uMhHSBeP64dCg,Free Visa Advisor
29,256.0,Xk1eJ0DnM1Y,2022-02-16T14:00:25Z,India to Germany donkey flight | Europe donkey flight | 3 way to go Germany | By Air .,https://www.youtube.com/watch?v=Xk1eJ0DnM1Y,India to Germany donkey flight | Europe donkey flight | 3 way to go Germany | By Air .. #Germanydonkeyflight #Europedonkey ...,UCEFJ74BQdQ7kGHXX2D8nfRA,Teach visa Punjabi
30,257.0,jo1H581ixKs,2022-04-17T06:36:04Z,INDIA TO USA Immigration Kaisa Hota Hai | Indian In America | India To USA Donkey Visa,https://www.youtube.com/watch?v=jo1H581ixKs,IndiaToUsa #IndiaToUsaJourney #IndiansInAmerica INDIA TO USA Immigration Kaisa Hota Hai | Indian In America New ...,UCdvfzzIhnq4_WOZDP8L1oPw,RK'S IN AMERICA
31,265.0,fVpLx6DK9dY,2018-10-19T15:26:51Z,mexico to usa illegal [india pakistan bangladesh] PARTS 1 USA KI donkey  2018 in URDU&amp;HINDI.,https://www.youtube.com/watch?v=fVpLx6DK9dY,mexico to usa illegal [india pakistan bangladesh] PARTS 1 2018 in URDU&HINDI. India to usa by donkey U S A bond after ...,UCYyk3C5bP0IVvukAnGibl7w,TEACH VISA
32,268.0,wgJ4Hos-dCw,2022-10-18T04:55:39Z,INDIA TO USA Donkey | गाँव के बालक देखलो #shorts,https://www.youtube.com/watch?v=wgJ4Hos-dCw,INDIA TO USA DONKEY.,UCp9ABGKxojZ9MIpCurKFXCQ,Gaurav Maan
