,videoId,new_comment,author_name,author_id,replies
0,B9rP1MdC_nw,Bai kitne din lge the,Jugraj Singh,UCvQKV-i3erzYBAPt2SJYZGA,[]
1,B9rP1MdC_nw,Bhai kam mil gaya kya,Ronak khasa,UCoBJVK5C9aelv76DEOZYrBA,[]
2,B9rP1MdC_nw,How many days India toh America,Rubani jot,UC17cERW-SGIJXyGCCCNp4-Q,[]
3,B9rP1MdC_nw,Any one in Cuba or Mexico or Panama contact,KD Express Academy,UC7nRJvqfrwgxxskeDOiDaqw,[]
4,B9rP1MdC_nw,What is the use to cross all these countries illegally instead of fly direct to mexico? Can anyone pls tell,D P,UCKI_Pp3ZhhEtqdsA3tnZBgw,[]
5,B9rP1MdC_nw,What is the use to cross all these countries illegally instead of fly direct to mexico? Can anyone pls tell,D P,UCKI_Pp3ZhhEtqdsA3tnZBgw,[]
6,B9rP1MdC_nw,Hum b panama se hi aye hai laude....1 crore rs dunga tu akela jungle cross krdega to .....,pardeep gahlawat,UCWz_ITWMccUChCgkOlucDLg,[]
7,B9rP1MdC_nw,Rip for those jinko lagta hai ye sach me akela rha 🤣🤣,pardeep gahlawat,UCWz_ITWMccUChCgkOlucDLg,[]
8,B9rP1MdC_nw,"ligal try kari yar ,",Gaon wala ,UCI-JKmj0nFavFXOdk3J34cQ,[]
9,B9rP1MdC_nw,Tere journey dekh ne h,GAMER  SAMEER,UC-JW-TUBl7ZEziXr6l_LSHw,[]
10,B9rP1MdC_nw,Part 3 kad ave ga bhi,GAMER  SAMEER,UC-JW-TUBl7ZEziXr6l_LSHw,[]
11,B9rP1MdC_nw,https://youtu.be/EPYtzZ2LlPQ,Pawan joshi vlogs    99M  2day ago.,UC2zERplBVdEHAUvrRS7jsIg,[]
12,B9rP1MdC_nw,👍🙏,Dev Walia,UCo1clZ1EwDA5Xvg9j8_iaUw,[]
13,B9rP1MdC_nw,Bhai tene us agent ka naam batana chaiye taki thodi to help mile or loga ne k ispe to kaam krvana hi nahi,Arman 0121,UCv45_446cgo5ERsupVwQyGw,[]
14,B9rP1MdC_nw,Bhosdike itna padhne mai dimag laga leta to ias bnn jata mc,kunal kumar,UCqknU6pBuSnc44xgiCjYEow,[]
15,B9rP1MdC_nw,Ram Ram bhai sahab,Deepanshu Dhawan,UCWOwiWZcgVdmn3XA1kgfsSw,[]
16,B9rP1MdC_nw,Kitne rupaye lagenge donkey ke,Himanshu Himanshu,UCV12cYQuit0p3B7Q7NB76wQ,[]
17,B9rP1MdC_nw,👌👌👌👌,galyan family,UCIisjTQnvJUKUbxKCYPf7Rw,[]
18,B9rP1MdC_nw,👌👌👌👌,galyan family,UCIisjTQnvJUKUbxKCYPf7Rw,[]
19,B9rP1MdC_nw,Aysa kuch ni h chutiya bnawa tna to 1 waar panama jangal paar kra hoga humna 3 waar donky mar rhki h aysa kuch ni dosto aaram se aao,Mitta Beniwal,UCWTaxQyXPj7d9qmVSwGeqJA,[]
20,pKRsvAmfhCA,Very good advice. Thanks a lot. God bless you for giving us an excellent information.,Kawal Arora English classes,UCQh3l0MHTNZKb7SvXuTmrJQ,[]
21,pKRsvAmfhCA,Bhji  2022  di  ki  update a,Singh Lovedèep,UCz8sv6oZLIKAadwltQynRIQ,[]
22,pKRsvAmfhCA,bro me l am from tigray l wnet to com mikcko so l living France you can hilp me,ኣስተውዕል መንእሰይ,UCglwpBqufSZ9V2rKk6beLTg,[]
23,pKRsvAmfhCA,Hey parmeshwar,Baljitkataria Baljitkataria,UCSNTL2trSgV6YWVcNxmXTsw,[]
24,pKRsvAmfhCA,Aap ka  number milega sirr pzl,Prisma Saud,UCsx2OadeiRKDbKo2RnXa3QA,[]
25,pKRsvAmfhCA,"Great video bro, 
Do you live in Mexico City bro? 
Can I have your email please, 
Thanks",khan,UCTU5Yczu9luz0VjeSX34CWw,[]
26,pKRsvAmfhCA,Thvade kol insta ? Haga ya number mil sakda? Thvada,Donkey information Punjabi,UCDv3oz1fvUHCOJ1D_WBV5Gw,[]
27,pKRsvAmfhCA,Hahaha,M Usman jutt376,UCwrqQ2nO3DNF8Cw4VFjzRvA,[]
28,pKRsvAmfhCA,Decmber main sardi to nhibziyada hoti udr ????,Natalia Adams,UCfH6xozpLX-AFbgQdWPcZ-A,[]
29,pKRsvAmfhCA,Ok vase vir hun india h kfi trki kr jave ga 2027 tk kese aavna h nhi. Jese ke 1 no te china 2 te india aya jna usa / canda kese puchhna h nhi,gillgursewakmehna,UCcNipCpkWu92D22W3jKjJzg,[]
30,pKRsvAmfhCA,Veeray loka ney kihda hattna hey tussi hi donkera nu kaih key cross karva diya karo ihna ney hor nu v paysey deyney hey tussi lay liya karo,all salution,UCaqyE9fqL1rxg4lSm6IumAQ,[]
31,pKRsvAmfhCA,"ਮੋਤ,,ਨੂੰ,,ਮਾਸੀ,,ਡੋਕੀ,,22,,ਜੀ",Manmohan Singh,UCCF1zXLq6W0Mvk_8PedM-_Q,[]
32,pKRsvAmfhCA,"Please read this post 📯 for your own good, if you are facing injustice, blackmail, cheating, unlocking ios device, recovery of stolen / or scammer funds, or you want to have access to your partiner cell phone remotely without touching his phone, 

     Send in your request to the above mentioned hacker name to get it done for you.

       Don't forget to come back here and thank me for this opportunity. ....",inbox 👉5ispyhak 👈 on Instagram.,UCzopGsBZED17vVxROEB0omg,[]
33,pKRsvAmfhCA,👍🙏🙏🙏🙏,jay shri ram g Devi,UCLIJmYfce8opUXESKe4IUxQ,[]
34,pKRsvAmfhCA,Solar Energy Technician Certification Training Course,dare to speech !,UCJsnwVjkwPiXwx1L_SxnpKg,[]
35,pKRsvAmfhCA,technology business learning school by NMBLH India,dare to speech !,UCJsnwVjkwPiXwx1L_SxnpKg,[]
36,pKRsvAmfhCA,Wadia video vr👍,Sher Gill,UCoCHfSkeKyBlYNHGK7picCQ,[]
37,pKRsvAmfhCA,Mexico tu USA koi donker Banda acha jya howay ty oda number ty send kr dewo Family nu cross krwana hai Plz..,رَعیتِ وارثِ حُسین ع ڈنگہ,UCN3r6VbKmWCFuPNZnT-SUiw,[]
38,pKRsvAmfhCA,Wahaguru Ji kirpa Karo,Sarb Jeet,UC4t9jG8S6-F85mw5phaRpHw,[]
39,pKRsvAmfhCA,Hi,Ghoot Singh,UCUZd1ZmEor653AcItwkZLOw,[]
40,SOm3vmHs43A,bhai byaan ki dena honda aa,VISHAL TECHNICAL,UCitqO0iKVN2YS13NTkudNVQ,[]
41,SOm3vmHs43A,Granter pr hi hona chaiye bhi ya bina pr ka bnda b granter kar skte h,Balwan Singh,UCSIefrP95OHZfHsmgWU1Lgg,[]
42,SOm3vmHs43A,Bond kitni dar ma pay krna ha??,Ali raza,UCDUkOH7ZsE3rbcH1Oat0hvg,[]
43,SOm3vmHs43A,Biyan bare ta dasiya nahi bro,Balwinder Singh,UCP4ST3Gpxe-_foOY-Krg1rA,[]
44,SOm3vmHs43A,Hello sir,Gurpreet Singh,UCbB6gH2ldmvkv-C6Nh7HECA,[]
45,SOm3vmHs43A,वाहे गुरु जी 👍🌲👌🌲🌲👍🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻🌻,aam nagrik shorts and video,UCJIqIgknB7gunFVm360NLtA,[]
46,SOm3vmHs43A,Bhai ji dec me jane ki tayari hai kya us time Jana thik hai ya nhi,CRP ANKIT,UCeXDlCwNN7xwaquiNPdMdtA,[]
47,SOm3vmHs43A,Thanx bae ji,Dharminder Singh,UC-t6_VutqMuLI-F2CkYXNLw,[]
48,SOm3vmHs43A,"Say English brother.
Or subtitles in English",Md Mazed,UCKtts4bUxAoNPJB47JnB6SA,[]
49,SOm3vmHs43A,"Paji Mai Ecuador ha, tuhanu email te messege kite tusi reply nhi dinde, please  reply kro",monu,UCMeZARKCGo-rkBePtkVFArw,[]
50,SOm3vmHs43A,Veer je camp vicho byan fail ho jan fr deport krde a,jashan maan,UC54Vm67y73qalduOg9qARIA,[]
51,SOm3vmHs43A,Paji granter to bina camp vicho Chad dinde aa?,monu,UCMeZARKCGo-rkBePtkVFArw,[]
52,SOm3vmHs43A,16-17 september ta oni a hale bro ..pehla kida treek hogi,RS TRADING,UCgxauDRfEK72oULFqi6XYgg,[]
53,SOm3vmHs43A,Bhai 16 17 September abhi aayi hi nahi,Sunil bhall,UCVAhCBuIQiJ2hdOh8EM1DiA,[]
