,videoId,publishedDate,title,videoUrl,description,channelId,channelTitle
0,dSOMBC4156I,2022-12-03T07:11:39Z,Why Indians cross US Mexico Border? Donkey Process Explained!!,https://www.youtube.com/watch?v=dSOMBC4156I,Why Indians are the highest number of people to cross the US Mexico Border and the consequences!! Edited by Srikant Tripathi ...,UChYs-_zjKRYhdMddjx-NPLw,Singh in USA
1,t-RxWqCOBns,2022-12-14T15:31:51Z,India To USA Donkey Process,https://www.youtube.com/watch?v=t-RxWqCOBns,dipanshusaini #short #india.,UCzuUlC_vInz73zl2vY_oANQ,Dipanshu Saini
2,WF4-GH6gT_k,2022-10-06T04:00:02Z,INDIA 🇮🇳 TO USA 🇺🇸 DONKEY || इंडिया से अमेरिका तक का सफ़र ASHU ROR,https://www.youtube.com/watch?v=WF4-GH6gT_k,INDIA TO USA DONKEY || इंडिया से अमेरिका तक का सफ़र ASHU ROR Instagrams ...,UCKw8osbjurLZYFcwYp7SD5A,ASHU ROR
3,pvIA2UtNV0E,2022-06-18T15:26:03Z,India to 🇺🇸 USA Donkey legal &amp; illegal documentation-All Process step by step-How agent works//Hindi,https://www.youtube.com/watch?v=pvIA2UtNV0E,NEW Channel Link https://www.youtube.com/channel/UCQ4wHQNcVZL-IYWaK0pnCAQ.,UCqd8aA47jJjNPD2P7_soVdA,ASHISH TOMAR
4,_KzW9Ct8WLs,2023-02-03T03:00:22Z,Usa Donkey 7 Lakhs Mai | India To Portugal Portugal To Mexico | Usa Donkey,https://www.youtube.com/watch?v=_KzW9Ct8WLs,UsaDonkey#7Lakhs# Usa Donkey 7 Lakhs Mai | India To Portugal Portugal To Mexico | Usa Donkey Instagram ...,UCHsNErnX6cVbYnODtjgn9TA,Namaste Backpacker
5,OYeguAVqHNY,2023-02-07T12:57:01Z,Mexico 🇲🇽 jungel usa donkey 2 number #2numabri #haryanaale #india #donkey #usa #america #panama,https://www.youtube.com/watch?v=OYeguAVqHNY,Insta= honeymaan05 Insta=rishideswal USA में काम क्यों नहीं मिल रहा कैसे मिलेगा ...,UCbxP5ppeghypksQtdbMSzog,Deswal & Maan
6,e_SFs5v-TXs,2022-05-13T15:56:50Z,Usa donkey wale🇱🇷🇱🇷 | America wale | #usadonkey #america #shorts,https://www.youtube.com/watch?v=e_SFs5v-TXs,,UCqmwrqXsVU9O0cNitUwV9aw,Pendu Bai
7,vElXF3bwrfI,2022-07-24T06:16:17Z,PANAMA JUNGLE PART (1) FULL DETAIL ASHU ROR USA DONKEY 🇺🇸,https://www.youtube.com/watch?v=vElXF3bwrfI,PANAMA JUNGLE PART (1) FULL DETAIL ASHU ROR USA DONKEY instagram :- ashu_ror_22.,UCKw8osbjurLZYFcwYp7SD5A,ASHU ROR
8,_djgUASoBls,2023-02-04T03:40:46Z,India 🇮🇳 to 🇺🇸USA,https://www.youtube.com/watch?v=_djgUASoBls,,UCSpetEnE8uaDZ1RKsViSGHg,USA DONKEY 🇺🇸
9,pux309R_Ljo,2023-02-02T02:40:00Z,India 🇮🇳 To USA 🇺🇸 | Part 15 | पनामा जंगल में घुस गये 😱। Panama 🇵🇦 Jungle | Capurgana| USA,https://www.youtube.com/watch?v=pux309R_Ljo,Jai Mata Di America #usa     #usa #america #trending #reels #reelitfeelit #trend #explore #explorepage #usa     ...,UC1X4PBVhNsyavmtdy2XOZFA,Ankush Malik Vlogs
