,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,dSOMBC4156I,"['dunki', 'usa mexico border', 'indians in usa', 'Shahrukh khan', 'Aaja mexico chaliye', 'Donkey usa', 'Mexico', 'Dunki']",1170772,19997,0,1474
1,t-RxWqCOBns,"['india to usa donkey process', 'US Donkey Process in 59 seconds', 'border', 'india', 'usa', 'indians in usa', 'singh', 'punjab', 'haryana', 'indian youtuber', 'up', 'delhi', 'dipanshu saini', 'dipanshu saini shorts', 'short', 'shorts']",4727523,326167,0,1184
2,WF4-GH6gT_k,,573331,19160,0,781
3,pvIA2UtNV0E,"['how to make documentation for usa donkey', 'how to cross Mexican border easly to enter usa', 'how to enter in usa from mexico', 'how to find donkey agents in india', 'USA donkers', 'Usa donkey', 'How to cross panama forest', 'usa donkey 2022', 'how to find best way to enter usa on donkey']",202820,4387,0,22
4,_KzW9Ct8WLs,"['Namaste backpacker', 'Backpacker', 'namaste', 'usa', 'usa donkey', 'usa donkey vai Portugal', 'America', 'America donkey', 'America donkey from Europe', 'Donkey America', 'Usa donkey 2022', 'usa donkey 2023', 'Usa donkey from India', 'usa donkey from Europe', 'Usa donkey via Mexico', 'Usa study visa', 'Usa tourist visa', 'Usa work visa from India', 'usa donkey from India', 'Mexico donkey from India', 'Europe donkey from India', 'Serbia donkey from India', 'Serbia donkey', 'Portugal tourist visa', 'Usa visa update']",1735,77,0,16
5,OYeguAVqHNY,,270,31,0,0
6,e_SFs5v-TXs,,1263637,49355,0,422
7,vElXF3bwrfI,,422614,7686,0,362
8,_djgUASoBls,,1182,111,0,75
9,pux309R_Ljo,,37638,2017,0,99
10,fbuFDw5Acg8,,257263,6339,0,241
11,Wyhmg-aXmrY,"['Aaja Mexico Challiye\nFilm', 'Mexico USA border', 'ILLEGAL Mexico border', 'Mexico donkey', 'USA donkey', 'India to usa donkey']",3076696,33778,0,983
12,FSGmJNlm5mQ,"['indian vlogger', 'indian software engineer in usa', 'singh in usa']",1801481,115138,0,930
13,x-s0YoznGgU,"['#usadonkey', '#donkeyusa', '#panamajungle', '#usa', '#mexicodonkey', '#mexicojungle', '#usaborder', '#mexicoborder', '#ashuror']",127061,6292,0,626
14,bwgBfJMP5s4,,17412,782,0,5
15,jHkGJE6_2Yc,"['America', 'America donkey', 'America donkey from Europe', 'America donkey from india', 'backpacker', 'direct usa indian', 'donkey america', 'namaste backpacker', 'usa', 'usa donkey', 'usa donkey 2022', 'usa donkey from india', 'usa donkey to india', 'usa donkey via Mexico', 'usa donkey via europe', 'usa ki donkey', 'usa study visa', 'usa tourist visa', 'usa visa', 'usa work visa for indian', 'Usa Ki donkey', 'usa donkey 2023']",16691,520,0,134
16,q-h09idPxg4,,1361366,34690,0,951
17,ApYh-QY53J8,"['Illegal Mexico Border Crossing', 'USA illegal border crossing', 'Illegal immigrant', 'Illegal Visa Agents', 'Legal ways to get USA Visa', 'USA Illegal Entry', 'Mexico Border illegal crossing', 'Latest illegal mexico border crossing', 'mk films', 'usa donkey', 'fake agents', 'illegal immigration usa', 'illegal immigration in mexico', 'us visa for indians', 'how to get us visa', 'mexico border crossing', 'USA: Mexico Donkey Route', 'immigration', 'border', 'mexico', 'sts vlogs', 'us deportation punjabi', 'latest visa video']",727890,15227,0,751
18,SOtnnx6Zf5c,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",1554347,59973,0,0
19,X6YPd9OjytM,"['Mr beats', 'Mr beast india', 'Mr beats india', 'Usa donkey', 'India to Mexico', 'Europe to Mexico', 'Uk to Mexico', 'Panama donkey', 'Beast', 'New blog']",76447,1731,0,82
20,axXhqLiRMjA,"['vinu lifestyle', 'india to mexico donkey route', 'india to\\nmexico donkey', 'india to usa donkey map', 'india to america donkey', 'india to usa full\\njourney', 'india to usa donkey route', 'india to\\nusa flight journey', 'india to usa vlog', 'india to\\nusa by road', 'america ki donkey kaise lagti\\nhai', 'america me india ka', 'america me\\nindian independence day', 'america work\\npermit visa 2023', 'india se america jane me\\nkitna paisa lagta hai', 'india se america kese\\njaye', 'india se america kitna dur hai']",5990,158,0,28
21,EPlTfEptC3s,,1230703,7772,0,1724
22,45jmXri0fUc,"['donkey route to usa from india', 'usa donkey route', 'America donkey', 'donkey America', 'donkey usa', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'Mexico to usa border crossing', 'Mexico to usa border crossing 2022', 'usa border crossing punjabi', 'Mexico to usa border crossing punjabi', 'Mexico border crossing to usa', 'shorts', 'yt shorts', 'short video', 'shorts feed', 'usa donkey', 'Serbia donkey', 'England donkey', 'Italy to America donkey', 'India to usa donkey']",2636,47,0,0
23,z5IOgk7WB4g,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2219159,109593,0,1878
24,VSPj51bioPc,,155723,7731,0,33
25,hG84NMmT0-4,,198875,,0,43
26,tNNAycX5gyU,,1758,65,0,11
27,1pDi0dzT3wc,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'usa border crossing punjabi', 'donkey usa', 'America donkey', 'donkey America', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'today Mexico border crossing entr usa', 'Mexico to usa border crossing punjabi', 'Mexico to usa border crossing 2022', 'Panama jungle donkey', 'Panama jungle', 'shorts', 'yt shorts', 'usa donkey status', 'Serbia donkey', 'Italy donkey', 'India to usa donkey', 'India to usa donkey route']",22051,482,0,2
28,jcVx8KQDT8A,"['india to usa donkey', 'usa donkey', 'india to america donkey map', 'india to usa', 'india to usa donky', '#india to usa donky', '#india to usa donky time', 'india to usa donkey route', '#india to usa donky expensive', 'haryana to usa donkey', 'india to amrika donkey', 'usa ki donkey', 'india to america donkey', 'india to america donkey route', 'donkey route to usa from india', 'how to find donkey agents in india', 'russia to usa donkey', 'india to europe', 'america donkey', 'mexico to america donkey']",6532,352,0,75
29,pM6H_zko9R4,,104886,4628,0,10
30,vMpQuHznKbI,"['usa donkey', 'usa donkey 2022', 'donkey usa', 'usa donkey new video', 'usa donkey border crossing', 'india to usa donkey', 'America donkey', 'donkey America', 'America donkey new video', 'Mexico to usa border crossing', 'Mexico border crossing to usa 2022', 'Mexico to usa border crossing punjabi', 'usa border crossing', 'Mexico border crossing', 'shorts', 'shorts video', 'short video', 'yt shorts', 'Serbia donkey', 'England donkey', 'Canada donkey']",3105,115,0,1
31,fnbB-ehHbVg,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2818,170,0,0
32,4WPKTg8Lo6I,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",13514,681,0,0
33,GVF0uDIygMQ,"['#dobkey', 'donkey', '#facttack.', '#attack', '#mrindianhacker', '#usa donkey', '#serbia to austria', '#england donkey', '#go to Europe', '#best donkey', '#europe donkey']",403,12,0,4
34,kCbW0Pqh7kc,,44758,3662,0,13
35,8on2Be9xQ_w,,823690,23784,0,381
36,1I3AjV8hydM,"['usa donkey', 'usa ki donkey', 'usa donkey 2022', 'usa donkey punjabi', 'america donkey', 'usa punjabi donkey', 'india to usa donkey route', 'usa donkey border crossing', 'donkey usa', 'usa donkey map', 'usa donkey enjoy', 'usa donkey in hindi', 'india to usa donkey', 'usa ki donkey 2022', 'mexico to usa donkey map', 'amrika donkey', 'mexico donkey', 'donkey flight', 'usa donkey rahi', 'usa donkey camp', 'usa donkey 2021', 'donkey america', 'usa donkey agent', 'usa donkey video', 'donkey new video']",6776,219,0,0
37,GR_YB9tQtNs,"['India to usa donkey', 'usa donkey', 'usa donkey border crossing', 'usa donkey 2022', 'usa donkey new video', 'America donkey', 'donkey America', 'Panama jungle donkey', 'Panama jungle', 'usa donkey full details', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'usa border crossing punjabi', 'Mexico to usa border crossing punjabi', 'today Mexico border crossing entr usa', 'serbia to Austria donkey', 'France to England donkey', 'shorts', 'yt shorts', 'donkey update 2.0', 'sidhu moose wala new song']",60334,2637,0,11
38,j2bxTBWz0V8,"['usa donkey 2022', 'america donkey', 'american donkey punjabi', 'amritpal singh waris punjab de', 'brazil ki donkey', 'donkey america', 'donkey america punjabi', 'donkey flight', 'donkey new video', 'india to usa donkey route', 'mexico donkey', 'mexico to usa donkey map', 'us donkey flight', 'usa donkey', 'usa donkey in hindi', 'usa donkey map', 'usa donkey punjabi', 'usa ki donkey', 'usa punjabi donkey', 'india to america donkey map', 'mexico to america donkey', 'latest video mexico to america donkey']",109882,3014,0,
39,pKRsvAmfhCA,"['#panamajungle', '#maxico', '#USAdonkey', '#humantraffking', '#panamacanal', '#USAborder', 'panama to America donkey', 'panama canal ship crossing', 'panama donkey', 'USA', 'USA donkey', 'USA donkey 2022', 'USA donkey latest video', 'USA donkey new update', 'usa donkey today', 'Maxico border crossing USA', 'Maxico border crossing']",101789,1794,0,109
40,cyYyT4scN6Y,,148112,5401,0,178
41,zV2eJFA7VOk,,371963,14383,0,57
42,9VD1UB3Jinw,,19828,1108,0,12
43,4PIkMIcc9qI,,726,32,0,1
44,R2JoXWzjPDE,"['usa donkey', 'usa donkey 2022', 'usa donkey border crossing', 'Mexico to America donkey', 'America donkey', 'donkey America', 'Mexico to usa border crossing punjabi', 'usa border crossing punjabi', 'Mexico to usa border crossing 2022', 'Serbia to Austria donkey', 'punjabi news', 'donkey usa', 'punjabi arreste in America', 'shorts', 'short video', 'Mexico border crossing entr usa', 'usa border', 'England donkey', 'Serbia donkey', 'Italy to America donkey']",15880,638,0,0
45,6nJjy-tcckQ,,122646,5254,0,320
46,SOm3vmHs43A,,7560,378,0,29
47,ME1VmtDrtZo,"['america donkey', 'donkey to america', 'usa donkey', 'donkey america', 'india to america donkey', 'america donkey map', 'america', 'mexico to america donkey', 'america donkey new video', 'america donkey way', 'america donkey 2021', 'america donkey visa', 'america di donkey flight', 'america donkey latest usa donkey usa camp video', 'usa donkey border crossing', 'mexico donkey america', 'america deport indian', 'america deport punjabi', 'america to spain deport', 'usa ki donkey', 'usa donkey bond']",1284,79,0,9
48,TUuYjDiqVgA,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa donkey border crossing', 'Donkey usa', 'America donkey', 'Donkey America', 'America Border', 'Mexico to usa border crossing', 'Mexico Border crossing to usa', 'Mexico Border crossing entr usa', 'Serbia donkey', 'Serbia to Austria donkey', 'Australia Donkey', 'England donkey', 'Italy donkey', 'shorts', 'short video', 'yt shorts']",94164,4230,0,13
49,4nVhsYEQSMA,"['immigration', 'border patrol', 'mexico donkey america', 'mexico donkey punjabi', 'mexico donkey america 2022', 'mexico donkey real video', 'hindi travel vlog', 'mexico donkey from india to america', 'mexico to usa donkey', 'mexico to usa donkey 2022', 'how to go to america from india', 'अमेरिका कैसे जाएं', 'ਅਮਰੀਕਾ ਡੌਂਕੀ', 'ਮੈਕਸੀਕੋ ਤੋਂ ਅਮਰੀਕਾ']",195561,4215,0,283
50,zAFiNAh6emM,,10328,356,0,41
51,OhbRJ7Q3qaw,"['usa donkey', 'usa donkey 2022', 'usa donkey border crossing', 'usa donkey update', 'donkey usa', 'America donkey', 'donkey America', 'America Border', 'usa border crossing punjabi', 'usa border', 'Mexico to usa border crossing', 'Mexico Border crossing to usa', 'Mexico Border crossing entr usa', 'Panama jungle', 'Panama to usa donkey', 'usa border camp', 'Serbia donkey', 'Italy donkey', 'England donkey', 'shorts', 'short video', 'yt shorts']",351113,11142,0,23
