,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,B9rP1MdC_nw,,34100,2079,0,99
1,zV2eJFA7VOk,,373549,14425,0,57
2,nbU-Mo-l32E,"['2 Numbari USA Wala', 'America wala song', 'Punjab to America Donkey', 'Usa donkey 2022', 'YouTube', 'america donkey', 'attack on ukraine', 'donkey america', 'india to amarica donkey', 'mexico border crossing to usa enter', 'nato vs russia', 'new punjabi songs', 'punjab', 'punjab news', 'punjabi songs', 'us vs russia', 'usa donkey', 'usa donkey border crossing', 'usa donkey video', 'youtube channel 2 numbari usa wala', 'America camp', 'us donkey', 'Panama jungel', 'us time', 'Manoj Dey', 'USA DONKEY VIDEO']",223969,2100,0,157
3,vElXF3bwrfI,,426124,7730,0,359
4,pKRsvAmfhCA,"['#panamajungle', '#maxico', '#USAdonkey', '#humantraffking', '#panamacanal', '#USAborder', 'panama to America donkey', 'panama canal ship crossing', 'panama donkey', 'USA', 'USA donkey', 'USA donkey 2022', 'USA donkey latest video', 'USA donkey new update', 'usa donkey today', 'Maxico border crossing USA', 'Maxico border crossing']",101817,1793,0,109
5,e_SFs5v-TXs,,1271879,49629,0,422
6,Fes9V3SA4jI,,483597,12527,0,173
7,j0FgD3Kv_nc,"['#panama', '#usa', '#usadonkey', '#usa2numberi', '#maxicoborder', '#usaborder']",79773,3013,0,233
8,hG84NMmT0-4,,200532,,0,43
9,4fODIBVwUdw,"['American donkey', 'American donkey by punjab', 'punjabi ne khole America donkey de raan', 'raaj', 'viral video', 'fateh talk']",777702,14679,0,712
10,kIYQX-5YstU,,1093807,49907,0,189
11,WF4-GH6gT_k,,578417,19307,0,782
12,x-s0YoznGgU,"['#usadonkey', '#donkeyusa', '#panamajungle', '#usa', '#mexicodonkey', '#mexicojungle', '#usaborder', '#mexicoborder', '#ashuror']",127592,6300,0,627
13,fbuFDw5Acg8,,262104,6434,0,246
14,hbE86ml_Efk,,1469153,47626,0,106
15,SOm3vmHs43A,,7568,378,0,29
16,SOtnnx6Zf5c,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",1556531,60077,0,0
17,q-h09idPxg4,,1363752,34730,0,951
18,Zg6CQaPEUuk,"['2 numbari usa wala', 'America camp', 'Usa donkey 2022', 'Usa donkey 2023', 'Vlog', 'animal crossing new horizons', 'camp', 'camp america', 'daily vlog', 'donkey america', 'family vlogs', 'india to amarica donkey', 'india to usa flight journey', 'india to usa travel vlog', 'india to usa vlog', 'living in panama', 'new york', 'new york city', 'panama canal', 'sourav joshi vlogs', 'stand up comedian', 'summer camp', 'travel vlog', 'united states', 'usa donkey', 'usa donkey video', 'vlogs', 'youtube channel 2 numbari usa wala', 'us']",18907,818,0,156
19,9VD1UB3Jinw,,20582,1148,0,12
20,1D-ac4de6E8,"['USA lifestyle', 'USA donkey', 'Donkey USA', 'Mexico country', 'Mexico information', 'Indian in USA', '2 number wale', 'Ashu ror', 'Kholti khota sikka', 'Viral video', 'Video viral', 'Donkey update']",15552,655,0,106
21,t-RxWqCOBns,"['india to usa donkey process', 'US Donkey Process in 59 seconds', 'border', 'india', 'usa', 'indians in usa', 'singh', 'punjab', 'haryana', 'indian youtuber', 'up', 'delhi', 'dipanshu saini', 'dipanshu saini shorts', 'short', 'shorts']",4841850,333030,0,1214
22,r4mCnd4yMOw,"['usa donkey', 'usa donkey video', 'panama jangle video', 'america donkey', 'usa donkey camp']",774,16,0,0
23,_dME5eZ4dLQ,"['india to usa donkey', 'donkey america', 'usa donkey', 'america donkey', 'usa donkey border crossing', 'donkey usa', 'mexico border crossing to usa punjabi', 'mexico border', 'usa donkey status', 'usa donkey real video', 'panama jungle video', 'panama jungle real video', 'panama jungle full video', 'usa donkey haryana to usa', 'india to usa donkey route', 'usa ki donkey', 'haryana to usa donkey', 'Donkey flight rampant in Punjab', 'USA Donkey Route', 'America donky map', 'Panama jungle']",357,14,0,1
24,aEJLfeVz-xo,,76041,715,0,111
25,dSOMBC4156I,"['dunki', 'usa mexico border', 'indians in usa', 'Shahrukh khan', 'Aaja mexico chaliye', 'Donkey usa', 'Mexico', 'Dunki']",1194647,20299,0,1490
26,domN0sQe1o4,,1945395,,0,137
27,PswI9oN7NIA,"['usa donkey border crossing', 'usa donkey haryana', 'usa donkey video', 'usa donkey panama jungle entry', 'usa donkey status', 'usa donkey interview', 'usa donkey agent number', 'usa donkey america', 'usa donkey bond', 'usa donkey border crossing punjabi', 'usa donkey border crossing new update']",614,15,0,0
28,RO-DJS9K4EU,,119666,2452,0,84
29,9pjtR8jQGwA,,8964,357,0,108
30,8on2Be9xQ_w,,825885,23856,0,381
31,RM-aWZURetU,,818850,3733,0,280
32,22M7hJ5bT44,"['usadonkey', 'Mexico', 'mexicoborder', 'tapachula', 'CHIAPAS', 'tapachulatochiapas', 'usaborder', 'panamajungle', 'Mexicojungle', 'panama', 'panamacity', 'ashuror']",257829,7388,0,458
33,kCbW0Pqh7kc,,44801,3665,0,13
34,hZILqwt-nOA,,34218,491,0,79
35,ElczJDcwR7s,"['mexico to usa donkey', 'india to usa donkey', 'america donkey', 'usa donkey visa', 'donkey panama to usa', 'america donkey visa', 'usa donkey 2019', 'panama jungle donkey #donkey #uniquezone', 'punjabi in panama jungle', 'india to usa', 'donkey', 'panama 2019', 'jungle', 'panama jungle', 'punjabi agent', 'agent dhokha', 'agent fraud', 'fraud', 'america border', 'mexico border', 'punjabi jail in jungle', 'donkey fraud', 'donkey na laeo', 'punjabi donkey in jungle']",115832,1068,0,48
36,z5IOgk7WB4g,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2226486,109916,0,1882
37,pux309R_Ljo,,43238,2177,0,101
38,sAXSqXDKn34,"['usa Donkey', 'usa Donkey new video', 'usa Donkey border crossing', 'America Donkey', 'Donkey America', 'shorts', 'shorts video']",60443,2012,0,1
39,_rbUfJY3hmc,,875536,38979,0,126
40,gOCL_eMkl0w,"['usa donkey visa', 'usa donkey 2019', 'donkey panama to usa', 'donkey fraud', 'india to usa donkey route', 'donkey flights to usa', 'donkey way of panama jungle', 'america donkey 2019', 'india to usa donkey']",84449,879,0,120
41,34AzvUjc2ws,"['panama jungle', 'indian in panama jungle', 'indian donki system', 'donki kya hota hain', 'mexico usa border crossing', 'indian in usa', 'mexico to usa border crossing', 'panama jungle death videos', 'panama jungle donki video', 'donkers videos of panama', 'dangerous forest of panama', 'mexico border crossing', 'indian in canada', 'indian donkers', 'dunki trailer sharukhan movie', 'mexico usa border', 'donki real videos', 'dead man in panama jungle', 'usa canada border', 'usa caneda border']",1082774,21094,0,540
42,uLcwDwA5_J4,,19140,580,0,
43,pvIA2UtNV0E,"['how to make documentation for usa donkey', 'how to cross Mexican border easly to enter usa', 'how to enter in usa from mexico', 'how to find donkey agents in india', 'USA donkers', 'Usa donkey', 'How to cross panama forest', 'usa donkey 2022', 'how to find best way to enter usa on donkey']",204630,4418,0,25
44,aFUZA9KK8BE,"['USA donkey', 'donkey', 'Panama jungle', 'Panama', 'ankush Malik vlogs', 'india', 'india to USA', 'first vlog', 'first day in Panama', 'first day in jungle', 'mafia Panama', 'mafia jungle', '2 number se USA', 'donkar', 'USA vlogs', 'donkey vlogs', 'Panama vlogs', 'jungleshorts']",48,9,0,0
45,nNGDQuKmsqE,"['#usa', '#usadonkey', '#usaborder', '#usamexicoborder', '#maxicoborder', '#usanews', '#ashuror']",139944,4845,0,317
46,4bzAzTBq61c,,329,22,0,3
47,9Y8pL8JjOns,,340134,6037,0,205
48,iqa3HzBT3UM,"['India To USA Donkey', 'india in to usa donkey', 'USA की दीवार कूदने के बाद क्या होता है', 'Amerika ki Diwar Kudne Ke Bad', 'Donkey To America', 'Donkey Video Full Ditels', 'Donkey America', 'USA Donkey', 'usa donky', '#usadonky', '#donkeyamerica', '#donkeyvideo', 'USA Donkey kaise jate hai', 'India To USA Donkey Full Details', 'usa donkey border crossing', 'america border crossing india', 'usa donkey border crossing 2022', 'usa donkey panama jungle entry', 'usa donkey mexico border', 'INDIA 🇮🇳 TO USA 🇺🇸 DONKEY']",713,29,0,4
49,VSPj51bioPc,,160964,8013,0,34
