,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,aNxd01VzJsw,"['Dunki', 'dunki announcement', 'dunki srk', 'Shahrukh khan', 'shah rukh khan', 'rajkumar hirani films', 'srk new film 2023', 'dunki trailer', 'dunki first look', 'Taapsee Pannu', 'Rajkumar Hirani New Film', 'SRK latest film', 'Dunki 2023', 'Dunki Title Announcement']",11387599,494566,0,19501
1,SDeQT9zCvi4,"['Wonky', 'Donkey', 'music', 'video', 'Craig', 'Smith', 'animation', 'song', 'funny', 'comedy']",27077131,88790,0,0
2,IwEyob2jmXI,"['dunkey', 'donkey kong country', 'donkey kong dunkey', 'donkey kong december', 'donkey kong snes', 'donkey kong country 2', 'donkey kong country 3', 'donkey kong country trilogy', 'dunkey kong', 'videogamedunkey', 'donkey kong tv show', 'donkey kong arcade', 'donkey kong begins', 'donkey kong']",2120796,156215,0,5797
3,TcTIiVgblWo,"['PBS KIDS', 'education', 'children', 'kids', 'games', 'videos', 'educational', 'cartoons', 'Disney Jr.', 'Nickelodeon', 'Nick Jr.', 'Cartoon Network', 'Games', 'Videos', 'Full Episodes', 'Full Episode', 'life lessons', 'educational media', 'safe', 'streaming', 'Donkey Hodie FULL EPISODE | The Waiting Game / Planet Purple Party | PBS KIDS', 'donkey hodie', 'Donkey Hodie FULL EPISODE', 'The Waiting Game', 'Planet Purple Party', 'purple panda', 'donkey', 'waiting', 'songs for kids', 'pbs kids full episodes', 'new show', 'puppets']",1221418,2596,0,
4,iRMjEYlK4PU,"['christmas songs', 'top christmas songs', 'best christmas songs', 'classic christmas songs', 'christmas playlist', 'christmas music', 'dominick the christmas donkey', 'dominick the donkey dance', 'lou monte', 'lou monte christmas', 'lou monte christmas donkey', 'lou monte dominick the italian christmas donkey', 'lou monte dominick the donkey', 'dominick the donkey official video', 'dominick the donkey', 'donkey song', 'dominick the donkey lyrics', 'christmas songs for kids', 'christmas time', 'christmas 2022']",3587490,22435,0,752
5,jZtHYa-4t4o,"['PBS KIDS', 'education', 'children', 'kids', 'games', 'videos', 'educational', 'cartoons', 'Disney Jr.', 'Nickelodeon', 'Nick Jr.', 'Cartoon Network', 'Games', 'Videos', 'Full Episodes', 'Full Episode', 'life lessons', 'educational media', 'safe', 'streaming', 'donkey hodie', 'Donkey Hodie FULL EPISODE', 'purple panda', 'donkey', 'waiting', 'songs for kids', 'pbs kids full episodes', 'new show', 'puppets', 'duck duck', 'Pickle Penguin Problem', 'pancakes', 'giant pancake', 'Flying Flapjacks']",1081559,2630,0,
6,FEmPaC-6n7M,,1200,61,0,5
7,fC3PkiFk0sg,"['dunkey', 'tekken 7', 'tekken', 'tek ken 7', 'tek ken', 'tekken dunkey', 'tekken series', 'videogamedunkey']",6603712,202507,0,4369
8,fDRFOYRTT04,"['donkey kong december', 'donkey kong dunkey', 'donkey kong 64', 'dk64', 'donkey kong n64', 'donkey kong country', 'dunkey', 'videogamedunkey', 'dunkview', 'donkey kong dunkview', 'donkey kong 3d', '3d donkey kong', 'n64', 'nintendo 64', 'nintendo 64 donkey kong', 'donkey kong nintendo 64']",1855592,110662,0,3500
9,WG6qKDoidmg,"['katrina kaif songs', 'imran khan songs', 'mere brother ki dulhan songs', 'katrina kaif dance song', 'katrina dance song', 'bollywood songs', 'bollywood dance songs', 'कटरीना कैफ', 'sohail sen song', 'do dhaari talwaar song', 'meri brother ki dulhan songs', 'irshad kamil songs', 'hindi songs', 'indian songs', 'lagu india', 'اغاني هندية', 'कतरीना कैफ', 'neha bhasin song', 'dhunki song', 'dhunki full song', 'dhunki', 'dhudki dhudki lage', 'dunki dunki lage', 'brother ki dulhan songs', 'neha basin', 'best of neha basin', 'song']",31801143,209813,0,5419
10,sbcrJ7PDmFA,"['god of war ragnarok', 'god of war', 'god of war ps5', 'god of war 2', 'god of war 5', 'dunkey', 'god of war dunkey', 'god of war dunkview', 'god of war ragnarok dunkview', 'ragnarok review', 'god of war review', 'god of war ragnarok review', 'dunkview', 'videogamedunkey', 'gow dunkey', 'gowr', 'gowr dunkey', 'dunkview god of war', 'dunkey ps5']",3076364,185305,0,6315
11,KjHe05UG0aU,"['elden ring', 'dunk runes', 'dunkey', 'dunkey elden ring', 'videogamedunkey', 'dunkey dark souls', 'dunk souls', 'dunk souls 3', 'dunk souls III', 'demons dunk souls', 'bloodborne dunk souls', 'dunk souls bloodborne', 'sekiro dunkey', 'sekiro dunkey dies', 'dunkey sekiro', 'elden ring funny']",6252275,237179,0,6020
12,EcFi5ETgXx8,"['garrysandhu', 'newsong', 'latest song of garry sandhu', 'doaba song by garry sandhu', 'freshmediarecords']",2191435,45701,0,2776
13,zBGNPcscuaA,"['dunkey sonic', 'sonic dunkey', 'dunkey', 'sonic frontiers', 'sonic frontiers dunkey', 'sonic forces dunkey', 'dunkey sonic forces', 'dunkey sonic mania', 'sonic mania dunkview', 'dunkey 3d sonic', 'sonic frontier', 'dunkey sonic frontiers']",3625195,177846,0,14107
14,Ca5wXojemRM,"['christmas songs', 'christmas playlist', 'christmas music', 'dominick the christmas donkey', 'dominick the donkey dance', 'lou monte', 'lou monte christmas', 'lou monte christmas donkey', 'lou monte dominick the italian christmas donkey', 'lou monte dominick the donkey', 'dominick the donkey official video', 'dominick the donkey', 'donkey song', 'dominick the donkey lyrics', 'dominick the donkey song', 'dominick the donkey christmas song', 'christmas 2022', 'christmas music for kids', '80s christmas songs']",6972522,39583,0,1758
15,xm3ZGC9gxxs,"['dunkey', 'tekken', 'dunkey tekken', 'tekken 7', 'dunkey tekken 7', 'kuma', 'dunkey kuma', 'kuma tekken', 'kuma madness', 'tek ken 7', 'dunkey mortal kombat', 'dunkey injustice', 'dunkey street fighter']",4091872,181114,0,5380
16,C5lS3hpuag0,"['DONKI || FULL MOVIE || HINDI URDU || TURKEY SAY PAKISTAN || ASAD PENDU VLOGS', 'DONKI', 'FULL MOVIE', 'HINDI URDU', 'TURKEY SAY PAKISTAN', 'ASAD PENDU VLOGS']",1279023,23302,0,1463
17,erXW0bCjPXE,"['Dunki Official Trailer', 'Shahrukh Khan', 'Taapsee Pannu', 'Rajkumar Hirani', 'Srk News', 'Dunki Teaser', 'Dunki', 'Dunki movie trailer', 'dunki trailer', 'srk dunki trailer', 'srk dunki update', 'dunki update', 'dunki movie news', 'dunki reaction', 'srk', 'srk today news', 'srk latest news', 'shahrukh khan movie trailer', 'trailer', 'teaser', 'rajkumar hirani and srk']",920018,5242,0,301
18,FGKByom93uA,"['dunkey', 'modern warfare 2', 'dunkey cod', 'dunkey call of duty', 'call of duty 20', 'call of duty modern warfare 2', 'call of duty 19 vanguard', 'call of duty 16 modern warfare', 'black ops dunkey', 'dunkey black ops', 'naming every cod map dunkey', 'battlefield 2077', 'modern warfare II', 'call of duty']",3303880,162467,0,5297
19,v1SpVYmcTGM,"['dunkey', 'spiderman', 'spider-man', 'spiderman ps4', 'videogamedunkey', 'dunkey spiderman', 'make you feel like spiderman', 'game critics dunkey', 'spiderman arkham city', 'spiderman insomniac', 'spiderman ps4 dunkey']",10463780,287667,0,8659
20,2rYZ2cgmX14,"['dunki trailer', 'dunki', 'dunki official trailer', 'sharukh khan', 'rajkumar hirani', 'taapsee pannu', 'dunki trailer first look', 'dunki motion poster', 'dunki teaser', 'dunki teaser trailer', 'dunki movie', 'dunki movie trailer', 'dunki official teaser', 'Movie Inner Today', 'donkey', 'Srk', 'shahrukh khan new movie', '2023', 'dunki trailer srk', 'dunki trailer sharukh khan', 'dhunki trailer', 'dunki trailer official']",64496,574,0,17
21,sTBG6MjtNIs,"['donkey song', 'donkey song for children', 'Nursery Rhymes', 'children rhymes', 'kids rhymes', 'baby songs', 'baby rhymes', 'English rhymes', 'nursery rhymes for children', '3d nursery rhymes', 'rhymes with lyrics', 'famous rhymes', 'popular rhymes', 'top English rhymes', 'top nursery rhymes', 'rhymes for preschool', 'rhymes for nursery', 'kids videos', 'kids songs', 'infobells', 'kids nursery rhymes', 'nursery rhymes for kids', 'school rhymes']",986814,2327,0,0
22,mZavtHhk508,"['chaos', 'final fantasy chaos', 'stranger of paradise', 'dunkey chaos', 'dunkey e3', 'e3 dunkey chaos', 'dunkeys e3', 'e3 dunkey', 'finding chaos', 'killing chaos', 'i have to kill chaos', 'chaos final fantasy', 'final fantasy stranger of paradise', 'dunkey final fantasy', 'dunkey nomura', 'dunkey ff7remake', 'dunkey xenoblade', 'dunkey ff7', 'xenoblade 2', 'kill chaos', 'chaos game']",3742413,187860,0,8777
23,mk-1Kmq1b9k,"['Review', 'Movie Review By KRK', 'Bollywood Review', 'Reviews', 'Kamaal Khan (Film Actor)', 'Khan', 'Kamaal Rashid Khan (Film Actor)', 'Best of Kamaal Khan', 'Latest Bollywood Reviews 2014', 'Best Of KRK Reviews', 'KRK Reviews 2014', 'critic', 'krk critic', 'no 1 critic']",299491,12802,0,3942
24,78vQacqkCbE,"['dunkey', 'videogamedunkey', 'star wars dunkey', 'star wars jedi fallen order', 'star wars fallen jedi order', 'star wars battlefront dunkey']",7270809,227477,0,6212
25,nrv495corBc,"['humpty dumpty', 'humpty', 'dumpty', 'humptee', 'dumptee', 'humpty dumpty rhyme', 'humpty dumpty song', 'kids songs', 'kids', 'songs', 'for kids', 'for toddlers', 'for children', 'for boys', 'for girls', 'song', 'nursery', 'rhyme', 'rhymes', 'nursery rhymes', '1 year old', '2 year old', '3 year old', '4 year old', 'baby', 'preschool', 'kindergarten', 'fairytales', 'classic kids song']",69860859,196233,0,0
26,eLR8IbbWeIM,"['family guy', 'family guy the videogame', 'dunkey family guy', 'family guy dunkey', 'videogamedunkey', 'dunkey donkey kong', 'donkey kong tv show', 'peter griffin', 'bryan griffin', 'family guy ps2']",6710424,265081,0,7142
27,rG6guvLvRPY,"['bollywood hungama', 'hungama', 'bollywood', 'hungama bollywood', 'interviews', 'bollywood entertainment', 'entertainment news', 'kapil sharma', 'promos', 'iifa', 'kapil sharma show', 'kk interview', 'shamshera trailer', 'salman khan', 'iffa', 'rajkumar hirani films', 'rajkumar hirani new film', 'taapsee pannu', 'shah rukh khan', 'dunki first look', 'dunki title announcement', 'srk latest film', 'dunki announcement', 'dunki srk', 'dunki trailer', 'srk new film 2023', 'dunki 2023', 'dunki']",387029,6920,0,281
28,wWsFgl-P3xg,"['dunkey', 'dunkey overwatch 2', 'dunkey overwatch', 'overwatch 2 dunkey', 'overwatch 2 dont be doo doo', 'overwatch 2 a pathetic preview', 'overwatch dunkey', 'winston checks in', 'overman', 'worst hanzo ever', 'hamston checks out', 'dunderwatch', 'overguy', 'overguy rise of riddler', 'doomberwatch', 'chrimbuswatch', ""winston's day off"", 'videogamedunkey', 'overwatch 2', 'overwatch 2 queue', 'welcome to overwatch 2']",3791156,284824,0,7931
29,ISlWN217EYQ,"['humpty dumpty sat on a wall', 'Preschool Playlist for Children Season 1', 'farmees', 'nursery rhymes Farmees', 'kids songs', 'baby rhymes', 'humpty dumpty', 'humpty dumpty nursery rhyme', 'humpty dumpty song', 'rhymes for kids', 'humpty dumpty rhyme', 'dumpty', 'humpty dumpty poem', 'humty dumty', 'dumpty humpty', 'sat on a wall', 'humpty', 'humpty dumpty had a great fall', 'cartoon for kids', 'cartoon', 'nursery rhyme', 'baby songs', 'kid songs', '3d rhymes', 'childrens rhymes', 'songs for kids', 'english rhymes', 'baby', 'babies']",20661989,27848,0,0
30,k-VgRHXfmHo,"['dunkey', 'heavy rain', 'heavy rain dunkey', 'videogamedunkey', 'heavy rain game', 'worst father in gaming', 'worst father heavy rain', 'heavy rain ps4', 'dunkey halloween', 'worst dad in gaming', 'worst gaming dad', 'worst father']",2954260,175656,0,6712
