,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
0,aNxd01VzJsw,"['Dunki', 'dunki announcement', 'dunki srk', 'Shahrukh khan', 'shah rukh khan', 'rajkumar hirani films', 'srk new film 2023', 'dunki trailer', 'dunki first look', 'Taapsee Pannu', 'Rajkumar Hirani New Film', 'SRK latest film', 'Dunki 2023', 'Dunki Title Announcement']",11607641,500736,0,19839
1,SDeQT9zCvi4,"['Wonky', 'Donkey', 'music', 'video', 'Craig', 'Smith', 'animation', 'song', 'funny', 'comedy']",27324603,89298,0,0
2,TcTIiVgblWo,"['PBS KIDS', 'education', 'children', 'kids', 'games', 'videos', 'educational', 'cartoons', 'Disney Jr.', 'Nickelodeon', 'Nick Jr.', 'Cartoon Network', 'Games', 'Videos', 'Full Episodes', 'Full Episode', 'life lessons', 'educational media', 'safe', 'streaming', 'Donkey Hodie FULL EPISODE | The Waiting Game / Planet Purple Party | PBS KIDS', 'donkey hodie', 'Donkey Hodie FULL EPISODE', 'The Waiting Game', 'Planet Purple Party', 'purple panda', 'donkey', 'waiting', 'songs for kids', 'pbs kids full episodes', 'new show', 'puppets']",1235815,2615,0,
3,k5bfgj5I_Sg,"['thats my sister', 'anwar', 'jibawi', 'king', 'bach', 'thats', 'my', 'sister', 'how girls act in horror movies', 'membership qa 3', 'bathroom buddies', 'How Girls Act in Horror Movies', 'lelepons', 'hannahstocking', 'rudymancuso', 'shots', 'shotsstudios', 'alesso', 'anitta', 'brazil']",15827298,338308,0,7191
4,mbaNnVIS9b4,"['Coupe', '36', 'Ans', 'Apres...', 'Donki']",326156,2861,0,3
5,FEmPaC-6n7M,,1210,61,0,5
6,2wEKc059HNw,"['Roblox', 'Dunkee', 'brookhaven 🏡rp', 'Brookhaven', 'brookhaven rp', 'Roblox Brookhaven rp', 'roblox brookhaven', 'Funny moments', 'best moments', 'funny edit', 'roblox funny moment', 'roleplay', 'roblox brookhaven 🏡rp funny moments', 'roblox brookhaven rp funny moments', 'roblox roleplay', 'Dunkee brookhaven', 'Part 13', 'Funny moments part 13', 'Dunkee roblox brookhaven part 13', 'best edit', 'Roblox brookhaven rp funny moments best edit', 'roblox brookhaven rp']",12012807,198476,0,12015
7,SSmKv5NTfeY,['Dream up and guess what they do amazing donkeys. Jule 1.2022'],1340471,1366,0,15
8,jZtHYa-4t4o,"['PBS KIDS', 'education', 'children', 'kids', 'games', 'videos', 'educational', 'cartoons', 'Disney Jr.', 'Nickelodeon', 'Nick Jr.', 'Cartoon Network', 'Games', 'Videos', 'Full Episodes', 'Full Episode', 'life lessons', 'educational media', 'safe', 'streaming', 'donkey hodie', 'Donkey Hodie FULL EPISODE', 'purple panda', 'donkey', 'waiting', 'songs for kids', 'pbs kids full episodes', 'new show', 'puppets', 'duck duck', 'Pickle Penguin Problem', 'pancakes', 'giant pancake', 'Flying Flapjacks']",1096087,2658,0,
9,IwEyob2jmXI,"['dunkey', 'donkey kong country', 'donkey kong dunkey', 'donkey kong december', 'donkey kong snes', 'donkey kong country 2', 'donkey kong country 3', 'donkey kong country trilogy', 'dunkey kong', 'videogamedunkey', 'donkey kong tv show', 'donkey kong arcade', 'donkey kong begins', 'donkey kong']",2153246,157221,0,5806
