,videoId,publishedDate,title,videoUrl,description,channelId,channelTitle
0,dSOMBC4156I,2022-12-03T07:11:39Z,Why Indians cross US Mexico Border? Donkey Process Explained!!,https://www.youtube.com/watch?v=dSOMBC4156I,Why Indians are the highest number of people to cross the US Mexico Border and the consequences!! Edited by Srikant Tripathi ...,UChYs-_zjKRYhdMddjx-NPLw,Singh in USA
1,t-RxWqCOBns,2022-12-14T15:31:51Z,India To USA Donkey Process,https://www.youtube.com/watch?v=t-RxWqCOBns,dipanshusaini #short #india.,UCzuUlC_vInz73zl2vY_oANQ,Dipanshu Saini
2,e_SFs5v-TXs,2022-05-13T15:56:50Z,Usa donkey wale🇱🇷🇱🇷 | America wale | #usadonkey #america #shorts,https://www.youtube.com/watch?v=e_SFs5v-TXs,,UCqmwrqXsVU9O0cNitUwV9aw,Pendu Bai
3,WF4-GH6gT_k,2022-10-06T04:00:02Z,INDIA 🇮🇳 TO USA 🇺🇸 DONKEY || इंडिया से अमेरिका तक का सफ़र ASHU ROR,https://www.youtube.com/watch?v=WF4-GH6gT_k,INDIA TO USA DONKEY || इंडिया से अमेरिका तक का सफ़र ASHU ROR Instagrams ...,UCKw8osbjurLZYFcwYp7SD5A,ASHU ROR
4,pvIA2UtNV0E,2022-06-18T15:26:03Z,India to 🇺🇸 USA Donkey legal &amp; illegal documentation-All Process step by step-How agent works//Hindi,https://www.youtube.com/watch?v=pvIA2UtNV0E,NEW Channel Link https://www.youtube.com/channel/UCQ4wHQNcVZL-IYWaK0pnCAQ.,UCqd8aA47jJjNPD2P7_soVdA,ASHISH TOMAR
5,_KzW9Ct8WLs,2023-02-03T03:00:22Z,Usa Donkey 7 Lakhs Mai | India To Portugal Portugal To Mexico | Usa Donkey,https://www.youtube.com/watch?v=_KzW9Ct8WLs,UsaDonkey#7Lakhs# Usa Donkey 7 Lakhs Mai | India To Portugal Portugal To Mexico | Usa Donkey Instagram ...,UCHsNErnX6cVbYnODtjgn9TA,Namaste Backpacker
6,vElXF3bwrfI,2022-07-24T06:16:17Z,PANAMA JUNGLE PART (1) FULL DETAIL ASHU ROR USA DONKEY 🇺🇸,https://www.youtube.com/watch?v=vElXF3bwrfI,PANAMA JUNGLE PART (1) FULL DETAIL ASHU ROR USA DONKEY instagram :- ashu_ror_22.,UCKw8osbjurLZYFcwYp7SD5A,ASHU ROR
7,Wyhmg-aXmrY,2022-02-28T02:09:39Z,ILLEGAL USA MEXICO BORDER CROSSING || INDIA IN AMERICA 🇮🇳🇺🇲,https://www.youtube.com/watch?v=Wyhmg-aXmrY,Friends Every Sunday Live on Instagram SuntyDreams : https://www.instagram.com/suntydreams/ My Other New Channel Indian ...,UCV58hE-D4viqzIsGkJX-xtA,Sunty Dreams
8,fbuFDw5Acg8,2022-12-29T04:00:19Z,India 🇮🇳 To USA 🇺🇸 | Part - 04 | जंगल में घुस गए 😈। America 🇺🇸Donkey | Donkey 2022| 2 Numbari,https://www.youtube.com/watch?v=fbuFDw5Acg8,Jai Mata Di America #usa     #usa #america #trending #reels #reelitfeelit #trend #explore #explorepage #usa     ...,UC1X4PBVhNsyavmtdy2XOZFA,Ankush Malik Vlogs
9,jHkGJE6_2Yc,2023-01-27T11:29:16Z,Usa Donkey Only 14 Lakhs Mai Direct Mexico,https://www.youtube.com/watch?v=jHkGJE6_2Yc,UsaDonkey# Usa Donkey Only 14 Lakhs Mai Direct Mexico Instagram https://www.instagram.com/Guraya #namastebackpacker ...,UCHsNErnX6cVbYnODtjgn9TA,Namaste Backpacker
